name,lat,lon
,-27.75,114.0
,-27.75,114.25
,-27.75,114.5
,-27.75,114.75
,-27.75,115.0
,-27.75,115.25
,-27.75,115.5
,-27.75,115.75
,-27.75,116.0
,-27.75,116.25
,-27.75,116.5
,-27.75,116.75
,-27.75,117.0
,-27.75,117.25
,-27.75,117.5
,-27.75,117.75
,-27.75,118.0
,-27.75,118.25
,-27.75,118.5
,-27.75,118.75
,-27.75,119.0
,-27.75,119.25
,-27.75,119.5
,-27.75,119.75
,-27.75,120.0
,-27.75,120.25
,-27.75,120.5
,-27.75,120.75
,-27.75,121.0
,-27.75,121.25
,-27.75,121.5
,-27.75,121.75
,-27.75,122.0
,-27.75,122.25
,-27.75,122.5
,-27.75,122.75
,-27.75,123.0
,-27.75,123.25
,-27.75,123.5
,-27.75,123.75
,-27.75,124.0
,-28.0,113.0
,-28.0,113.25
,-28.0,113.5
,-28.0,113.75
,-28.0,114.0
,-28.0,114.25
,-28.0,114.5
,-28.0,114.75
,-28.0,115.0
,-28.0,115.25
,-28.0,115.5
,-28.0,115.75
,-28.0,116.0
,-28.0,116.25
,-28.0,116.5
,-28.0,116.75
,-28.0,117.0
,-28.0,117.25
,-28.0,117.5
,-28.0,117.75
,-28.0,118.0
,-28.0,118.25
,-28.0,118.5
,-28.0,118.75
,-28.0,119.0
,-28.0,119.25
,-28.0,119.5
,-28.0,119.75
,-28.0,120.0
,-28.0,120.25
,-28.0,120.5
,-28.0,120.75
,-28.0,121.0
,-28.0,121.25
,-28.0,121.5
,-28.0,121.75
,-28.0,122.0
,-28.0,122.25
,-28.0,122.5
,-28.0,122.75
,-28.0,123.0
,-28.0,123.25
,-28.0,123.5
,-28.0,123.75
,-28.0,124.0
,-28.25,113.0
,-28.25,113.25
,-28.25,113.5
,-28.25,113.75
,-28.25,114.0
,-28.25,114.25
,-28.25,114.5
,-28.25,114.75
,-28.25,115.0
,-28.25,115.25
,-28.25,115.5
,-28.25,115.75
,-28.25,116.0
,-28.25,116.25
,-28.25,116.5
,-28.25,116.75
,-28.25,117.0
,-28.25,117.25
,-28.25,117.5
,-28.25,117.75
,-28.25,118.0
,-28.25,118.25
,-28.25,118.5
,-28.25,118.75
,-28.25,119.0
,-28.25,119.25
,-28.25,119.5
,-28.25,119.75
,-28.25,120.0
,-28.25,120.25
,-28.25,120.5
,-28.25,120.75
,-28.25,121.0
,-28.25,121.25
,-28.25,121.5
,-28.25,121.75
,-28.25,122.0
,-28.25,122.25
,-28.25,122.5
,-28.25,122.75
,-28.25,123.0
,-28.25,123.25
,-28.25,123.5
,-28.25,123.75
,-28.25,124.0
,-28.5,113.0
,-28.5,113.25
,-28.5,113.5
,-28.5,113.75
,-28.5,114.0
,-28.5,114.25
,-28.5,114.5
,-28.5,114.75
,-28.5,115.0
,-28.5,115.25
,-28.5,115.5
,-28.5,115.75
,-28.5,116.0
,-28.5,116.25
,-28.5,116.5
,-28.5,116.75
,-28.5,117.0
,-28.5,117.25
,-28.5,117.5
,-28.5,117.75
,-28.5,118.0
,-28.5,118.25
,-28.5,118.5
,-28.5,118.75
,-28.5,119.0
,-28.5,119.25
,-28.5,119.5
,-28.5,119.75
,-28.5,120.0
,-28.5,120.25
,-28.5,120.5
,-28.5,120.75
,-28.5,121.0
,-28.5,121.25
,-28.5,121.5
,-28.5,121.75
,-28.5,122.0
,-28.5,122.25
,-28.5,122.5
,-28.5,122.75
,-28.5,123.0
,-28.5,123.25
,-28.5,123.5
,-28.5,123.75
,-28.5,124.0
,-28.75,113.0
,-28.75,113.25
,-28.75,113.5
,-28.75,113.75
,-28.75,114.0
,-28.75,114.25
,-28.75,114.5
,-28.75,114.75
,-28.75,115.0
,-28.75,115.25
,-28.75,115.5
,-28.75,115.75
,-28.75,116.0
,-28.75,116.25
,-28.75,116.5
,-28.75,116.75
,-28.75,117.0
,-28.75,117.25
,-28.75,117.5
,-28.75,117.75
,-28.75,118.0
,-28.75,118.25
,-28.75,118.5
,-28.75,118.75
,-28.75,119.0
,-28.75,119.25
,-28.75,119.5
,-28.75,119.75
,-28.75,120.0
,-28.75,120.25
,-28.75,120.5
,-28.75,120.75
,-28.75,121.0
,-28.75,121.25
,-28.75,121.5
,-28.75,121.75
,-28.75,122.0
,-28.75,122.25
,-28.75,122.5
,-28.75,122.75
,-28.75,123.0
,-28.75,123.25
,-28.75,123.5
,-28.75,123.75
,-28.75,124.0
,-29.0,113.0
,-29.0,113.25
,-29.0,113.5
,-29.0,113.75
,-29.0,114.0
,-29.0,114.25
,-29.0,114.5
,-29.0,114.75
,-29.0,115.0
,-29.0,115.25
,-29.0,115.5
,-29.0,115.75
,-29.0,116.0
,-29.0,116.25
,-29.0,116.5
,-29.0,116.75
,-29.0,117.0
,-29.0,117.25
,-29.0,117.5
,-29.0,117.75
,-29.0,118.0
,-29.0,118.25
,-29.0,118.5
,-29.0,118.75
,-29.0,119.0
,-29.0,119.25
,-29.0,119.5
,-29.0,119.75
,-29.0,120.0
,-29.0,120.25
,-29.0,120.5
,-29.0,120.75
,-29.0,121.0
,-29.0,121.25
,-29.0,121.5
,-29.0,121.75
,-29.0,122.0
,-29.0,122.25
,-29.0,122.5
,-29.0,122.75
,-29.0,123.0
,-29.0,123.25
,-29.0,123.5
,-29.0,123.75
,-29.0,124.0
,-29.25,113.0
,-29.25,113.25
,-29.25,113.5
,-29.25,113.75
,-29.25,114.0
,-29.25,114.25
,-29.25,114.5
,-29.25,114.75
,-29.25,115.0
,-29.25,115.25
,-29.25,115.5
,-29.25,115.75
,-29.25,116.0
,-29.25,116.25
,-29.25,116.5
,-29.25,116.75
,-29.25,117.0
,-29.25,117.25
,-29.25,117.5
,-29.25,117.75
,-29.25,118.0
,-29.25,118.25
,-29.25,118.5
,-29.25,118.75
,-29.25,119.0
,-29.25,119.25
,-29.25,119.5
,-29.25,119.75
,-29.25,120.0
,-29.25,120.25
,-29.25,120.5
,-29.25,120.75
,-29.25,121.0
,-29.25,121.25
,-29.25,121.5
,-29.25,121.75
,-29.25,122.0
,-29.25,122.25
,-29.25,122.5
,-29.25,122.75
,-29.25,123.0
,-29.25,123.25
,-29.25,123.5
,-29.25,123.75
,-29.25,124.0
,-29.5,113.0
,-29.5,113.25
,-29.5,113.5
,-29.5,113.75
,-29.5,114.0
,-29.5,114.25
,-29.5,114.5
,-29.5,114.75
,-29.5,115.0
,-29.5,115.25
,-29.5,115.5
,-29.5,115.75
,-29.5,116.0
,-29.5,116.25
,-29.5,116.5
,-29.5,116.75
,-29.5,117.0
,-29.5,117.25
,-29.5,117.5
,-29.5,117.75
,-29.5,118.0
,-29.5,118.25
,-29.5,118.5
,-29.5,118.75
,-29.5,119.0
,-29.5,119.25
,-29.5,119.5
,-29.5,119.75
,-29.5,120.0
,-29.5,120.25
,-29.5,120.5
,-29.5,120.75
,-29.5,121.0
,-29.5,121.25
,-29.5,121.5
,-29.5,121.75
,-29.5,122.0
,-29.5,122.25
,-29.5,122.5
,-29.5,122.75
,-29.5,123.0
,-29.5,123.25
,-29.5,123.5
,-29.5,123.75
,-29.5,124.0
,-29.75,113.0
,-29.75,113.25
,-29.75,113.5
,-29.75,113.75
,-29.75,114.0
,-29.75,114.25
,-29.75,114.5
,-29.75,114.75
,-29.75,115.0
,-29.75,115.25
,-29.75,115.5
,-29.75,115.75
,-29.75,116.0
,-29.75,116.25
,-29.75,116.5
,-29.75,116.75
,-29.75,117.0
,-29.75,117.25
,-29.75,117.5
,-29.75,117.75
,-29.75,118.0
,-29.75,118.25
,-29.75,118.5
,-29.75,118.75
,-29.75,119.0
,-29.75,119.25
,-29.75,119.5
,-29.75,119.75
,-29.75,120.0
,-29.75,120.25
,-29.75,120.5
,-29.75,120.75
,-29.75,121.0
,-29.75,121.25
,-29.75,121.5
,-29.75,121.75
,-29.75,122.0
,-29.75,122.25
,-29.75,122.5
,-29.75,122.75
,-29.75,123.0
,-29.75,123.25
,-29.75,123.5
,-29.75,123.75
,-29.75,124.0
,-30.0,113.0
,-30.0,113.25
,-30.0,113.5
,-30.0,113.75
,-30.0,114.0
,-30.0,114.25
,-30.0,114.5
,-30.0,114.75
,-30.0,115.0
,-30.0,115.25
,-30.0,115.5
,-30.0,115.75
,-30.0,116.0
,-30.0,116.25
,-30.0,116.5
,-30.0,116.75
,-30.0,117.0
,-30.0,117.25
,-30.0,117.5
,-30.0,117.75
,-30.0,118.0
,-30.0,118.25
,-30.0,118.5
,-30.0,118.75
,-30.0,119.0
